Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Player Profile URL
Fazalhaq Farooqi (MIE),2025-2025,11,11,249,41.3,-,314,21,5/16,14.95,7.56,11.85,1,1,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175
JO Holder (ADKR),2025-2025,10,10,233,38.5,1,304,17,4/23,17.88,7.82,13.70,1,-,https://www.espncricinfo.com/cricketers/jason-holder-391485
B Muzarabani (GG),2025-2025,10,10,232,38.4,1,257,16,3/25,16.06,6.64,14.50,-,-,https://www.espncricinfo.com/cricketers/blessing-muzarabani-827051
AS Joseph (MIE),2025-2025,10,10,230,38.2,1,337,16,3/17,21.06,8.79,14.37,-,-,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031
Mohammad Amir (DV),2025-2025,11,11,234,39.0,-,324,14,4/24,23.14,8.30,16.71,1,-,https://www.espncricinfo.com/cricketers/mohammad-amir-290948
AF Milne (SW),2025-2025,12,12,262,43.4,-,350,14,3/33,25.00,8.01,18.71,-,-,https://www.espncricinfo.com/cricketers/adam-milne-450860
MR Adair (GG),2025-2025,10,10,222,37.0,2,253,13,2/12,19.46,6.83,17.07,-,-,https://www.espncricinfo.com/cricketers/mark-adair-526441
PVD Chameera (DC),2025-2025,9,9,196,32.4,-,285,13,3/26,21.92,8.72,15.07,-,-,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152
OC McCoy (DC),2025-2025,11,11,235,39.1,-,358,13,3/22,27.53,9.14,18.07,-,-,https://www.espncricinfo.com/cricketers/obed-mccoy-906783
PW Hasaranga (DV),2025-2025,9,9,204,34.0,-,200,12,3/10,16.66,5.88,17.00,-,-,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379
LH Ferguson (DV),2025-2025,8,8,167,27.5,-,200,11,3/22,18.18,7.18,15.18,-,-,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773
Gulbadin Naib (DC),2025-2025,12,11,139,23.1,-,203,11,3/13,18.45,8.76,12.63,-,-,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048
Aayan Afzal Khan (GG),2025-2025,10,7,102,17.0,-,105,10,4/16,10.50,6.17,10.20,1,-,https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265
Muhammad Rohid (MIE),2025-2025,5,5,114,19.0,-,140,10,3/24,14.00,7.36,11.40,-,-,https://www.espncricinfo.com/cricketers/muhammad-rohid-1410354
DA Payne (DV),2025-2025,8,8,192,32.0,1,241,10,2/28,24.10,7.53,19.20,-,-,https://www.espncricinfo.com/cricketers/david-payne-362710
TG Southee (SW),2025-2025,12,12,260,43.2,-,377,10,3/30,37.70,8.70,26.00,-,-,https://www.espncricinfo.com/cricketers/tim-southee-232364
DJ Willey (ADKR),2025-2025,10,10,228,38.0,-,241,8,3/19,30.12,6.34,28.50,-,-,https://www.espncricinfo.com/cricketers/david-willey-308251
Khuzaima Tanveer (DV),2025-2025,7,7,129,21.3,-,180,7,4/22,25.71,8.37,18.42,1,-,https://www.espncricinfo.com/cricketers/khuzaima-tanveer-1460551
D Madushanka (SW),2025-2025,7,7,142,23.4,-,241,7,2/49,34.42,10.18,20.28,-,-,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007
Sikandar Raza (DC),2025-2025,12,12,210,35.0,-,275,7,2/24,39.28,7.85,30.00,-,-,https://www.espncricinfo.com/cricketers/sikandar-raza-299572
SM Curran (DV),2025-2025,13,13,270,45.0,-,380,7,3/28,54.28,8.44,38.57,-,-,https://www.espncricinfo.com/cricketers/sam-curran-662973
Qais Ahmad (DC),2025-2025,4,4,90,15.0,-,121,6,4/25,20.16,8.06,15.00,1,-,https://www.espncricinfo.com/cricketers/qais-ahmad-914171
KR Mayers (ADKR),2025-2025,10,7,93,15.3,-,131,6,3/25,21.83,8.45,15.50,-,-,https://www.espncricinfo.com/cricketers/kyle-mayers-348056
A Zampa (SW),2025-2025,5,5,114,19.0,-,144,6,3/27,24.00,7.57,19.00,-,-,https://www.espncricinfo.com/cricketers/adam-zampa-379504
NA Sowter (DV),2025-2025,6,6,126,21.0,-,215,6,3/44,35.83,10.23,21.00,-,-,https://www.espncricinfo.com/cricketers/nathan-sowter-747315
Waqar Salamkheil (MIE),2025-2025,10,10,186,31.0,-,256,6,1/13,42.66,8.25,31.00,-,-,https://www.espncricinfo.com/cricketers/waqar-salamkheil-1108490
DR Mousley (MIE),2025-2025,6,4,60,10.0,-,75,5,2/8,15.00,7.50,12.00,-,-,https://www.espncricinfo.com/cricketers/dan-mousley-1172968
OP Stone (DC),2025-2025,4,4,90,15.0,1,125,5,2/14,25.00,8.33,18.00,-,-,https://www.espncricinfo.com/cricketers/olly-stone-457279
Zahoor Khan (MIE),2025-2025,7,7,126,21.0,-,148,5,2/24,29.60,7.04,25.20,-,-,https://www.espncricinfo.com/cricketers/zahoor-khan-384525
DJ Worrall (GG),2025-2025,6,6,132,22.0,1,171,5,2/19,34.20,7.77,26.40,-,-,https://www.espncricinfo.com/cricketers/daniel-worrall-557298
SP Narine (ADKR),2025-2025,10,10,240,40.0,-,247,5,2/20,49.40,6.17,48.00,-,-,https://www.espncricinfo.com/cricketers/sunil-narine-230558
CJ Jordan (GG),2025-2025,3,3,55,9.1,-,79,4,2/20,19.75,8.61,13.75,-,-,https://www.espncricinfo.com/cricketers/chris-jordan-288992
Farhan Khan (DC),2025-2025,7,7,94,15.4,-,150,4,1/14,37.50,9.57,23.50,-,-,https://www.espncricinfo.com/cricketers/farhan-khan-1460534
Ibrar Ahmad (ADKR),2025-2025,7,7,90,15.0,-,161,4,2/27,40.25,10.73,22.50,-,-,https://www.espncricinfo.com/cricketers/ibrar-ahmad-1460538
Zahir Khan (DC),2025-2025,6,6,108,18.0,-,190,4,3/34,47.50,10.55,27.00,-,-,https://www.espncricinfo.com/cricketers/zahir-khan-712219
Ali Khan (ADKR),2025-2025,6,6,106,17.4,-,205,4,2/23,51.25,11.60,26.50,-,-,https://www.espncricinfo.com/cricketers/ali-khan-927119
AU Rashid (SW),2025-2025,3,3,72,12.0,-,80,3,2/14,26.66,6.66,24.00,-,-,https://www.espncricinfo.com/cricketers/adil-rashid-244497
Rohan Mustafa (SW),2025-2025,12,6,66,11.0,-,81,3,2/12,27.00,7.36,22.00,-,-,https://www.espncricinfo.com/cricketers/rohan-mustafa-307808
Harmeet Singh (SW),2025-2025,5,5,78,13.0,-,83,3,1/17,27.66,6.38,26.00,-,-,https://www.espncricinfo.com/cricketers/harmeet-singh-422847
R Shepherd (MIE),2025-2025,10,6,60,10.0,-,95,3,2/14,31.66,9.50,20.00,-,-,https://www.espncricinfo.com/cricketers/romario-shepherd-677077
TS Mills (GG),2025-2025,4,4,90,15.0,-,155,3,1/23,51.66,10.33,30.00,-,-,https://www.espncricinfo.com/cricketers/tymal-mills-459257
AC Agar (SW),2025-2025,7,7,132,22.0,-,170,3,1/14,56.66,7.72,44.00,-,-,https://www.espncricinfo.com/cricketers/ashton-agar-505120
Wahidullah Zadran (GG),2025-2025,2,2,42,7.0,-,59,2,1/27,29.50,8.42,21.00,-,-,https://www.espncricinfo.com/cricketers/wahidullah-zadran-1411737
AD Russell (ADKR),2025-2025,10,3,42,7.0,-,80,2,1/15,40.00,11.42,21.00,-,-,https://www.espncricinfo.com/cricketers/andre-russell-276298
DW Lawrence (DV),2025-2025,13,6,66,11.0,-,99,2,1/15,49.50,9.00,33.00,-,-,https://www.espncricinfo.com/cricketers/dan-lawrence-641423
Shahid Bhutta (ADKR),2025-2025,3,3,60,10.0,-,119,2,1/27,59.50,11.90,30.00,-,-,https://www.espncricinfo.com/cricketers/shahid-bhutta-1460540
Haider Ali (DC),2025-2025,12,10,138,23.0,-,156,2,1/6,78.00,6.78,69.00,-,-,https://www.espncricinfo.com/cricketers/haider-ali-1160970
TK Curran (GG),2025-2025,5,5,114,19.0,-,178,2,1/33,89.00,9.36,57.00,-,-,https://www.espncricinfo.com/cricketers/tom-curran-550235
AJ Hosein (MIE),2025-2025,10,10,179,29.5,1,232,2,1/24,116.00,7.77,89.50,-,-,https://www.espncricinfo.com/cricketers/akeal-hosein-530812
Uzair Khan (GG),2025-2025,2,2,12,2.0,-,24,1,1/12,24.00,12.00,12.00,-,-,https://www.espncricinfo.com/cricketers/uzair-khan-1103708
T Hinds (ADKR),2025-2025,2,2,23,3.5,-,29,1,1/12,29.00,7.56,23.00,-,-,https://www.espncricinfo.com/cricketers/terrance-hinds-1152714
RL Chase (ADKR),2025-2025,5,1,18,3.0,-,31,1,1/31,31.00,10.33,18.00,-,-,https://www.espncricinfo.com/cricketers/roston-chase-391832
Rehan Ahmed (GG),2025-2025,2,2,24,4.0,-,38,1,1/33,38.00,9.50,24.00,-,-,https://www.espncricinfo.com/cricketers/rehan-ahmed-1263691
D Parashar (DV),2025-2025,6,4,34,5.4,-,40,1,1/9,40.00,7.05,34.00,-,-,https://www.espncricinfo.com/cricketers/dhruv-parashar-1294144
Zuhaib Zubair (GG),2025-2025,3,2,24,4.0,-,41,1,1/22,41.00,10.25,24.00,-,-,https://www.espncricinfo.com/cricketers/muhammad-zuhaib-1241253
Karim Janat (SW),2025-2025,5,3,30,5.0,-,55,1,1/24,55.00,11.00,30.00,-,-,https://www.espncricinfo.com/cricketers/karim-janat-793467
V Viyaskanth (ADKR),2025-2025,3,2,30,5.0,-,60,1,1/38,60.00,12.00,30.00,-,-,https://www.espncricinfo.com/cricketers/vijayakanth-viyaskanth-1153149
AM Ghazanfar (MIE),2025-2025,3,3,43,7.1,-,68,1,1/24,68.00,9.48,43.00,-,-,https://www.espncricinfo.com/cricketers/am-ghazanfar-1326798
DC Drakes (GG),2025-2025,2,2,46,7.4,-,78,1,1/40,78.00,10.17,46.00,-,-,https://www.espncricinfo.com/cricketers/dominic-drakes-906749
Muhammad Jawadullah (SW),2025-2025,3,3,42,7.0,-,82,1,1/17,82.00,11.71,42.00,-,-,https://www.espncricinfo.com/cricketers/muhammad-jawadullah-1353033
L Wood (DV),2025-2025,4,4,78,13.0,-,101,1,1/30,101.00,7.76,78.00,-,-,https://www.espncricinfo.com/cricketers/luke-wood-573170
SC Kuggeleijn (DC),2025-2025,3,3,60,10.0,-,115,1,1/35,115.00,11.50,60.00,-,-,https://www.espncricinfo.com/cricketers/scott-kuggeleijn-539548
